accession	deeppl	phagescope	consensus	score	integration	lysis	regulation	replication	packaging	infection	assembly	tRNA	immune	n_proteins	completeness	checkv_quality
AF069308	temperate	temperate	agree	0.1630664764060424	True	True	True	True	True	True	True	False	False	66		
AF069529	temperate	temperate	agree	0.1611779847073964	True	True	True	True	True	True	True	False	True	59		
AF074945	temperate	temperate	agree	0.0890662204775082	True	False	False	True	True	False	False	False	True	15		
AF109874	temperate	temperate	agree	0.0842790649024632	True	True	True	True	True	True	True	True	False	52		
AF115102	virulent	temperate	disagree	0.005286461827452	False	True	True	True	True	True	True	False	True	46		
AF115103	temperate	temperate	agree	0.046414332824728	True	True	True	True	True	True	True	False	True	54		
AF125520	temperate	temperate	agree	0.1753431332737756	True	True	True	True	True	True	True	False	True	87		
AF145054	virulent	temperate	disagree	0.0047509968609485	False	True	True	True	True	True	True	False	True	45		
AF232233	temperate	temperate	agree	0.0611989356706839	True	True	True	True	False	True	True	False	True	51		
AF242738	temperate	temperate	agree	0.1093647675180091	True	True	True	True	True	True	True	True	False	48		
AF271693	temperate	temperate	agree	0.0480919813658439	True	True	True	True	True	True	True	False	True	84		
AF274751	virulent	virulent	agree	0.0075743230448778	False	False	False	False	False	False	False	False	False	0		
AF299314	virulent	virulent	agree	0.0051418777375737	False	False	False	False	False	False	False	False	False	0		
AF301375	temperate	virulent	disagree	0.0393502038702996	True	True	True	False	True	True	True	True	True	46		
AF320576	virulent	virulent	agree	0.0005461940732132	False	True	True	True	True	True	True	False	True	121		
AF323668	temperate	temperate	agree	0.0712330313549516	True	True	True	True	True	True	True	False	False	59		
AF323669	temperate	temperate	agree	0.0539672649716024	True	True	True	True	True	True	True	False	False	57		
AF323670	temperate	temperate	agree	0.0890511345130821	True	True	True	True	True	True	True	False	False	57		
AF323671	temperate	temperate	agree	0.1069889577161325	True	True	True	True	True	True	False	False	True	26		
AF323672	temperate	temperate	agree	0.1341895175286359	True	False	True	True	False	True	False	False	True	22		
AF323673	temperate	temperate	agree	0.1129096457476449	True	True	True	True	False	True	True	False	False	26		
AF335538	temperate	temperate	agree	0.1893852115626309	True	True	True	True	True	True	True	False	True	55		
AF424781	temperate	temperate	agree	0.087036483597324	True	True	True	True	True	True	True	True	False	65		
AF424782	temperate	temperate	agree	0.0414809201141226	True	True	True	True	True	True	True	False	True	64		
AF424783	temperate	temperate	agree	0.0898937043902668	True	True	True	True	True	True	True	False	True	64		
AF428260	temperate	virulent	disagree	0.016318652395157	False	False	False	False	False	True	True	False	False	10		
AF440695	virulent	temperate	disagree	0.0089394276711249	True	True	True	True	True	True	True	False	True	97		
AF448724	temperate	temperate	agree	0.0369737048734099	False	False	True	True	True	True	True	False	True	64		
AF513033	virulent	virulent	agree	0.0031453481955634	False	True	False	True	True	True	True	False	False	20		
AF543311	virulent	virulent	agree	0.0028042042291554	True	False	False	True	True	True	True	False	True	64		
AJ131519	temperate	temperate	agree	0.0450320512820512	True	True	True	True	True	True	True	False	False	66		
AJ270057	virulent	virulent	agree	0.0	False	False	False	True	False	True	True	False	False	5		
AJ505558	virulent	virulent	agree	0.0004008110529542	False	True	True	True	True	True	True	False	True	52		
AJ550635	virulent	virulent	agree	0.00157338727804	False	False	False	True	False	True	True	False	False	5		
AP008979	virulent	virulent	agree	0.0032967032967032	True	True	True	True	True	True	True	False	False	59		
AP014858	virulent	virulent	agree	0.0028108203923753	True	True	False	True	True	True	True	False	True	262		
AP014887	virulent	virulent	agree	0.0071797219678681	False	True	True	True	True	True	True	False	True	58		
AP018399	virulent	virulent	agree	0.0020646704718318	True	True	True	True	True	True	True	True	True	581		
AP019417	virulent	virulent	agree	0.0051659640163885	False	True	True	True	True	True	True	False	True	64		
AY129334	virulent	virulent	agree	0.0012467532467532	False	True	False	True	True	True	True	False	False	89		
AY129335	virulent	temperate	disagree	0.0042341256171776	True	True	True	True	True	True	True	False	True	118		
AY212251	virulent	virulent	agree	0.0027740923893378	False	True	False	True	True	True	True	False	False	26		
AY236756	virulent	virulent	agree	0.0055511498810467	True	True	True	True	True	True	True	True	False	46		
AY266303	virulent	virulent	agree	0.0026680507358586	True	True	True	True	True	True	True	True	True	338		
AY283928	virulent	virulent	agree	0.0034650572674264	True	True	True	True	True	True	True	True	True	382		
AY368235	virulent	virulent	agree	0.0029842025083995	True	True	False	True	True	True	True	False	True	64		
AY369265	virulent	virulent	agree	0.0025170577467132	False	False	True	True	True	True	True	False	True	68		
