run_accession	instrument_platform	instrument_model	library_layout	fastq_ftp
ERR14836078	ILLUMINA	Illumina NovaSeq 6000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/078/ERR14836078/ERR14836078.fastq.gz
ERR14836067	ILLUMINA	Illumina NovaSeq 6000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/067/ERR14836067/ERR14836067_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/067/ERR14836067/ERR14836067_2.fastq.gz
ERR14836069	ILLUMINA	Illumina NovaSeq 6000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/069/ERR14836069/ERR14836069_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/069/ERR14836069/ERR14836069_2.fastq.gz
ERR14836070	ILLUMINA	Illumina NovaSeq 6000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/070/ERR14836070/ERR14836070_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/070/ERR14836070/ERR14836070_2.fastq.gz
ERR14836073	ILLUMINA	Illumina NovaSeq 6000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/073/ERR14836073/ERR14836073.fastq.gz
ERR14836074	ILLUMINA	Illumina NovaSeq 6000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/074/ERR14836074/ERR14836074.fastq.gz
ERR14838503	OXFORD_NANOPORE	PromethION	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/003/ERR14838503/ERR14838503.fastq.gz
ERR14836076	ILLUMINA	Illumina NovaSeq 6000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/076/ERR14836076/ERR14836076.fastq.gz
ERR14838505	OXFORD_NANOPORE	PromethION	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/005/ERR14838505/ERR14838505.fastq.gz
ERR14836077	ILLUMINA	Illumina NovaSeq 6000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/077/ERR14836077/ERR14836077.fastq.gz
ERR14838508	OXFORD_NANOPORE	PromethION	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/008/ERR14838508/ERR14838508.fastq.gz
ERR14838502	OXFORD_NANOPORE	PromethION	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/002/ERR14838502/ERR14838502.fastq.gz
ERR14838507	OXFORD_NANOPORE	PromethION	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/007/ERR14838507/ERR14838507.fastq.gz
ERR14838512	OXFORD_NANOPORE	PromethION	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/012/ERR14838512/ERR14838512.fastq.gz
ERR14836068	ILLUMINA	Illumina NovaSeq 6000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/068/ERR14836068/ERR14836068_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/068/ERR14836068/ERR14836068_2.fastq.gz
ERR14836071	ILLUMINA	Illumina NovaSeq 6000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/071/ERR14836071/ERR14836071_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/071/ERR14836071/ERR14836071_2.fastq.gz
ERR14836072	ILLUMINA	Illumina NovaSeq 6000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/072/ERR14836072/ERR14836072_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/072/ERR14836072/ERR14836072_2.fastq.gz
ERR14836075	ILLUMINA	Illumina NovaSeq 6000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/075/ERR14836075/ERR14836075.fastq.gz
ERR14838501	OXFORD_NANOPORE	PromethION	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/001/ERR14838501/ERR14838501.fastq.gz
ERR14838504	OXFORD_NANOPORE	PromethION	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/004/ERR14838504/ERR14838504.fastq.gz
ERR14838506	OXFORD_NANOPORE	PromethION	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/006/ERR14838506/ERR14838506.fastq.gz
ERR14838509	OXFORD_NANOPORE	PromethION	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/009/ERR14838509/ERR14838509.fastq.gz
ERR14838510	OXFORD_NANOPORE	PromethION	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/010/ERR14838510/ERR14838510.fastq.gz
ERR14838511	OXFORD_NANOPORE	PromethION	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/011/ERR14838511/ERR14838511.fastq.gz
